,x,y,z,r,g,b
60,0.06401502006894212,0.3368715669923936,1.2332801444983785,119.0,60.5,14.5
61,-0.020499785577364364,0.26452292924284865,1.0658879151214784,111.5,62.0,27.0
62,0.18250638997259855,-0.013836374616945367,1.441376465640695,28.5,17.0,22.0
63,0.224664664683836,0.3643483563065635,1.5888816228243576,92.0,35.0,110.0
64,0.1179822757391136,-0.05367473180814279,1.2894107011430722,34.5,10.5,8.5
65,0.15031345676651342,1.0518111849957635e-05,1.3736926949713482,22.0,10.0,14.0
66,0.4880338492717878,0.7730890559824968,2.0513649655418114,103.0,49.0,5.0
67,0.19379404742213013,0.5668119588816782,1.451359509055872,110.0,55.0,8.5
68,0.07720315396867602,0.4651935639240382,1.220493979313103,120.5,62.5,16.0
69,0.1609622840168802,0.5540713614479914,1.381635537278381,101.5,49.5,1.0
70,0.06401502006894212,0.3368715669923936,1.2332801444983785,119.0,60.5,14.5
71,0.25967958160426097,-0.12798737664012877,1.5842357618807386,55.5,36.0,33.5
72,0.28387612705001064,-0.23197411260397202,1.6179352218629484,126.0,70.0,48.5
73,-0.02471139356708002,0.015568799423767902,1.0148256656418446,106.5,111.0,87.0
74,0.45130286497974126,0.7853038840169985,1.9640009544553263,108.0,54.5,9.0
75,1.0288222533053635,1.1193785955387738,3.164294232950202,113.5,59.0,11.5
76,0.11149406191796941,0.4232877600887793,1.3119068113698757,95.0,38.0,115.5
77,1.6905085193198224,1.4662380110058475,4.552418738730702,52.5,0.0,83.0
78,0.07720315396867602,0.4651935639240382,1.220493979313103,120.5,62.5,16.0
79,0.02428551564710446,0.4054215535686557,1.120472916819155,2.5,79.0,36.5
80,0.2673893024510472,0.6659442382302223,1.5861942865876861,115.0,63.0,22.0
81,0.05957085543104756,-0.1197935037253022,1.1512189490309632,65.5,39.0,28.0
82,0.15359858608951943,0.013023443300392712,1.3828554080896827,25.0,12.0,17.5
83,0.20343852757649847,0.08936285108161739,1.5133437355864707,35.0,15.5,19.5
84,0.6727194065173834,0.8492807748265789,2.4464817723236765,118.5,59.5,13.5
85,0.2892088105882184,0.6941873899575741,1.6261205547424709,12.0,84.5,43.0
86,0.11157241436909066,0.4738023488690065,1.296042488923541,18.5,93.0,44.5
87,0.16936285355512617,-0.042619867430878096,1.4030569974333484,28.5,9.5,9.0
88,0.049619813953406734,-0.017540540779494313,1.1550627646566227,52.5,70.0,61.0
89,0.01595518423692613,-0.04952998406235651,1.078160570092134,12.5,5.5,17.0
90,0.1594149974053506,0.004732847763362122,1.3940841886298478,13.5,118.5,118.5
91,0.24059476761084295,0.5866970140240805,1.551309863408758,118.5,60.0,16.0
92,0.7413001656221839,0.8856285122115105,2.5891975475512283,102.0,49.5,3.5
93,0.16580109674531934,0.554453172767946,1.3921994360812042,101.5,49.5,9.5
94,0.13927998808364736,0.49934487857127713,1.3501934680049241,113.5,59.0,15.0
95,0.1581826018860039,-0.08512392079853297,1.3683233866067335,10.5,117.0,113.0
96,0.06198644851788782,0.4355185917599315,1.196199206305918,104.5,50.0,7.5
97,0.19379404742213013,0.5668119588816782,1.451359509055872,110.0,55.0,8.5
98,0.7630822989152316,1.0377456914126342,2.588612634416663,1.5,78.5,41.0
99,0.29149297846740957,0.6432840868774483,1.648076769073553,111.0,58.0,15.0
100,0.018857470265799644,0.39783855206464636,1.110287962492498,93.0,43.5,4.5
101,0.046395220435506215,0.4173208941298906,1.1664371397251136,115.5,60.0,20.5
