,x,y,z,r,g,b,inlinear_idx
769,0.05946190351400057,0.045050817069693036,1.190761064347308,116.0,118.5,85.5,1417.0
770,0.28352652375830173,0.5972220233411091,1.6444976254209844,13.0,90.5,49.0,1420.0
771,-0.013461194982673065,0.3551877781590532,1.0513867649910944,96.5,45.5,1.5,1422.0
772,0.44693309331324244,0.7623675303193413,1.961821075896306,94.0,42.5,127.0,1423.0
773,0.11174153966462529,0.0441947695133005,1.3013876048304123,121.5,102.5,87.5,1427.0
774,-0.005001700587703511,0.006275384436993524,1.0503555466642849,105.0,118.5,87.0,1431.0
775,0.018003446191505835,0.41275724385178275,1.1037093230526704,81.5,30.0,111.5,1434.0
776,0.06454799246567651,-0.01023270904257047,1.1879501434981667,71.0,80.0,72.0,1435.0
777,1.1226883090095032,1.4581660785809694,3.265888978929607,102.0,47.5,5.0,1437.0
778,0.253637323884562,-0.036997792557518776,1.595039302111497,62.0,33.0,27.0,1438.0
779,0.24187696467204592,-0.20200128983883095,1.5263247920937502,38.0,123.5,114.5,1439.0
780,0.07403216324514543,0.050753475220403695,1.223649388580378,17.0,3.5,6.5,1441.0
781,0.05643689780657968,0.04752369054271694,1.1855657203186403,121.5,121.0,92.5,1446.0
782,0.11327491259234797,0.48740599164643567,1.2950111172066117,109.5,56.5,9.5,1447.0
783,-0.01670323058452082,0.29759822134067054,1.063096735132837,125.5,71.5,23.5,1449.0
784,-0.010850159016069123,0.35544903875021333,1.0571599622393713,101.0,50.0,6.0,1453.0
785,0.015548155733042019,-0.01920936862697052,1.0852041347193102,22.0,11.5,8.0,1455.0
786,0.8578392547743229,1.030544297640601,2.8039736198732705,86.0,33.5,116.5,1456.0
787,-0.039633583747950105,0.09537430974349027,1.0079390260231382,16.0,123.0,113.0,1457.0
788,-0.02311508960480334,0.10281126706162685,1.0410757204751442,11.5,118.0,108.5,1459.0
789,0.08917041926580103,0.09302757190853565,1.265608024486312,12.0,122.5,125.5,1460.0
790,0.005547130611268296,0.3893463810955319,1.0834002378223042,118.0,63.5,19.0,1461.0
791,0.04424923392599418,-0.017520642258309807,1.1439651149411836,58.0,61.5,57.0,1462.0
792,0.029221384611692512,0.11633858619779765,1.147786987017148,53.5,26.0,19.5,1463.0
793,0.22379175604195317,0.4559060283412741,1.5560401576537344,106.5,52.5,3.5,1464.0
794,0.08602473228800103,0.14448889552894947,1.2721797962639725,24.0,11.5,3.0,1467.0
795,0.1904893903016303,0.5815337962331365,1.4386296683919353,25.5,101.5,53.0,1468.0
796,0.26054517041689923,0.57789805286897,1.5993558923322257,100.5,49.0,7.0,1470.0
797,0.021768410669313495,0.10532549031171788,1.1299406249539223,54.5,30.0,21.5,1472.0
798,-0.017053470409105567,0.4179074313267287,1.0222231417138339,21.5,99.5,59.5,1473.0
799,0.05196899058191596,0.12328027065060557,1.1957767108853263,8.5,107.0,98.5,1474.0
800,0.01837217236613618,0.37857208879186977,1.1156863521441787,1.5,77.0,30.0,1477.0
801,0.6062584720880236,0.6550313683315752,2.358738125428845,43.5,116.0,72.5,1478.0
802,0.010133583053186518,0.007007495361842446,1.0809478455939592,118.0,125.0,93.0,1480.0
803,-0.032380011975665195,0.08734505226870301,1.019645817943692,7.5,118.5,111.0,1482.0
804,0.04799815683197444,0.05972049695028799,1.1716576116441515,15.0,127.5,2.5,1485.0
805,0.050224956437716385,0.002215160365577357,1.1612903096898906,108.0,115.0,84.5,1486.0
806,0.8877721761387763,1.118508344797876,2.844898753208048,122.5,68.5,21.5,1488.0
807,0.26569783404291575,-0.21631775289071312,1.5783256030860213,58.5,28.0,17.5,1494.0
808,0.12769022574064676,0.02010184816868423,1.329145752128093,16.0,126.5,124.5,1502.0
809,0.015442054306829153,0.3766612734321832,1.1097844978042957,92.5,41.0,122.5,1503.0
810,0.12312638598910151,0.49309753847364823,1.3157146882651636,117.0,65.0,22.5,1505.0
811,0.0039541859675315425,-0.04050127555283877,1.0569717563746706,123.5,112.5,112.0,1507.0
812,0.40406184834762815,0.41544308305822064,1.9754545491962097,38.5,111.0,70.5,1509.0
813,-0.008634998177867514,-0.10223175259474561,1.0170301921871,110.5,76.5,64.5,1510.0
814,0.9731502791967629,1.2478561109301523,2.9969374369460833,100.0,46.5,0.5,1511.0
